"countofbarcode","barcode","location1","itemno1","location2","itemno2","location3","itemno3","location4","itemno4"
2,"$C 41 184","ea","i305293345","nbeau","i179295822","","","",""
2,"B000826682","nbmau","i152156653","ma","i177055170","","","",""
2,"B000834269","ma","i109148988","ma","i193715764","","","",""
2,"B000908785","ma","i16319922x","nbmau","i163199231","","","",""
2,"B000916472","ma","i163853587","ma","i14778993x","","","",""
2,"B000951638","ma","i120779067","ma","i208389908","","","",""
2,"B003010433","ma","i141812291","nbmau","i192484072","","","",""
2,"B200007566","tb","i292085850","tb","i29208576x","","","",""
2,"B200007567","tb","i292085771","tb","i292085862","","","",""
2,"B200007568","tb","i292085783","tb","i292085874","","","",""
2,"B200007569","tb","i292085886","tb","i292085795","","","",""
2,"B200007570","tb","i292085801","tb","i292085898","","","",""
2,"B200007571","tb","i292085813","tb","i292085904","","","",""
2,"B200007572","tb","i292085825","tb","i292085916","","","",""
2,"B200007573","tb","i292085837","tb","i292085928","","","",""
2,"B200007582","tb","i292085461","tb","i291567691","","","",""
2,"C003336350","ma","i161320417","nbmau","i161320405","","","",""
2,"C004934221","ma","i136087012","ma","i256500721","","","",""
2,"C005265809","nbmau","i147609148","eau","i220148417","","","",""
2,"C005550189","ma","i256500794","ma","i136087000","","","",""
2,"C008825354","ma","i149919256","ma","i135048357","","","",""
2,"C020108733","zw","i130177635","zw","i127571048","","","",""
2,"C020291587","ma","i256500745","ma","i136087024","","","",""
2,"C020291596","ma","i256500769","ma","i136086986","","","",""
2,"C020291602","ma","i256500782","ma","i136086998","","","",""
2,"C020291611","ma","i256500812","ma","i136087036","","","",""
2,"C025902978","nbmau","i160462411","ma","i145704269","","","",""
2,"C026021718","ma","i136867698","ma","i226193391","","","",""
2,"C026021745","ma","i226193482","ma","i136867728","","","",""
2,"C026021824","ma","i226193536","ma","i136867686","","","",""
2,"C026144045","bi","i173832167","bi","i102705252","","","",""
2,"C026144753","bi","i102705185","bi","i17383386x","","","",""
2,"C026204110","ma","i138679381","ma","i249088411","","","",""
2,"C026204129","ma","i138679393","nbmau","i249088435","","","",""
2,"C026204156","ma","i249088460","ma","i138679496","","","",""
2,"C026204165","ma","i138679502","ma","i249102705","","","",""
2,"C026204174","ma","i138679514","ma","i249106711","","","",""
2,"C026204183","ma","i249108513","ma","i138679526","","","",""
2,"C026204192","ma","i249111883","ma","i13867940x","","","",""
2,"C026204208","ma","i138679411","ma","i249114823","","","",""
2,"C026204217","ma","i249116923","ma","i138679423","","","",""
2,"C026204226","ma","i249120422","ma","i138679435","","","",""
2,"C026204235","ma","i138679447","ma","i249122595","","","",""
2,"C026204244","ma","i138679459","ma","i249125493","","","",""
2,"C028659802","nbenu","i111143986","en","i182539441","","","",""
2,"C031797587","ma","i11044422x","ma","i192355156","","","",""
2,"C031963350","ma","i19364499x","ma","i150869447","","","",""
2,"C035185589","ma","i136532706","nbmau","i136532718","","","",""
2,"C035672571","nbenu","i11459661x","en","i167379756","","","",""
2,"C037425823","mur","i187479586","mur","i187479549","","","",""
2,"C037827832","es","i110132816","zw","i11013283x","","","",""
2,"C037878058","nbmau","i199984657","ma","i127679777","","","",""
2,"C037878067","ma","i12767942x","nbmau","i199982302","","","",""
2,"C037878076","nbmau","i199982211","ma","i12767939x","","","",""
