Herschberg,Jump to Record #: 1,=245  \\$aHyperfolliculinisme,Jump to Record #: 1,"=100  1\$aHerschberg, Alexandre-D.",Jump to Record #: 1,=245  12$aL'Hyperfolliculinisme :$bsyndrome de dominance oestrog{grave}ene /$cpar A.D. Herschberg.,Jump to Record #: 1
Herszko,Jump to Record #: 2,=245  \\$aMaladie de bang chez,Jump to Record #: 2,"=100  1\$aHerszko, Szmulewicz.",Jump to Record #: 2,=245  13$aLa maladie de Bang chez l'enfant /$cpar Szmulewicz Herszko.,Jump to Record #: 2
Hertrampf,Jump to Record #: 3,=245  \\$aUeber die geburt bei,Jump to Record #: 3,"=100  1\$aHertrampf, Horst,$d1909-",Jump to Record #: 3,=245  10$aUeber die Geburt bei jugendlichen Erstgeb{uml}arenden /$cvorgelegt von Horst Hertrampf.,Jump to Record #: 3
Hertzberg,Jump to Record #: 4,=245  \\$aUber die einwirkung,Jump to Record #: 4,"=100  1\$aHertzberg, G{uml}unter,$d1908-",Jump to Record #: 4,=245  14$aDer Genius epidemicus der Diphtherie in den Jahren 1953-1957 in West-Berlin /$cvorgelegt von G{uml}unter Hertzberg.,Jump to Record #: 4
Hertzog,Jump to Record #: 5,=245  \\$aUeber das wesen der,Jump to Record #: 5,"=100  1\$aHertzog, Otto,$d1898-",Jump to Record #: 5,=245  10$aUeber das Wesen der Perigastritis /$cvorgelegt von Otto Hertzog.,Jump to Record #: 5
Herwaarden,Jump to Record #: 6,=245  \\$aArcus lipoides corne,Jump to Record #: 6,"=100  1\$aHerwaarden, Abraham van.",Jump to Record #: 6,=245  10$aArcus lipoides corneae bij de experimenteele hypercholesterin{aelig}mie van het konijn /$cdoor Abraham van Herwaarden.,Jump to Record #: 6
Herzberger,Jump to Record #: 7,=245  \\$aUber congenitale cys,Jump to Record #: 7,"=100  1\$aHerzberger, Wilhelm,$d1879-",Jump to Record #: 7,=245  10$a{uml}Uber congenitale cystische Entartung des Pancreas /$cvorgelegt von Wilhelm Herzberger.,Jump to Record #: 7
Herzenberg,Jump to Record #: 8,=245  \\$aWeitere untersuchung,Jump to Record #: 8,"=100  1\$aHerzenberg, Roman.",Jump to Record #: 8,=245  10$aWeitere Untersuchungen {uml}uber der Wirkungen von Narkotica-Antipyretica-Combinationen /$cvorgelegt von Roman Herzenberg.,Jump to Record #: 8
Herzkine,Jump to Record #: 9,=245  \\$aSur un cas de mening,Jump to Record #: 9,"=100  1\$aHerzkine, Ch.",Jump to Record #: 9,=245  10$aSur un cas de m{acute}eningite suppur{acute}ee {grave}a colibacilles /$cpar Ch. Herzkine.,Jump to Record #: 9
Herzstein,Jump to Record #: 10,=245  \\$aUber ascites der fru,Jump to Record #: 10,"=100  1\$aHerzstein, Morris,$d1854-",Jump to Record #: 10,=245  10$a{uml}Uber Ascites der Frucht /$cMorris Herzstein.,Jump to Record #: 10
Hesper,Jump to Record #: 11,=245  \\$aZwei falle von prima,Jump to Record #: 11,"=100  1\$aHesper, Carl,$d1866-",Jump to Record #: 11,=245  10$aZwei F{uml}alle von prim{uml}arem Carcinom der Gallenausf{uml}uhrungsg{uml}ange /$cvorgelegt von Carl Hesper.,Jump to Record #: 11
